Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
d,48996,Melastomataceae,Leandra humilis,1,Melastomataceae Leandra humilis,Leandra humilis,1,(Cogn.) Wurdack,http://www.tropicos.org/Name/50291448 ,,,Accepted,Leandra,1,humilis,,,,,,Y,,
d,49063,Melastomataceae,Leandra warmingiana,1,Melastomataceae Leandra warmingiana,Leandra warmingiana,1,Cogn.,http://www.tropicos.org/Name/50307754 ,,,Accepted,Leandra,1,warmingiana,,,,,,Y,,
d,56972,Melastomataceae,Miconia bella,2,Melastomataceae Miconia bella,Miconia bella,1,Wurdack,http://www.tropicos.org/Name/50172503 ,,,No opinion,Miconia,1,bella,,,,,,Y,,
d,57184,Melastomataceae,Miconia flaccida,3,Melastomataceae Miconia flaccida,Miconia flaccida,1,Gleason,http://www.tropicos.org/Name/20302389 ,,,Accepted,Miconia,1,flaccida,,,,,,Y,,
d,57599,Melastomataceae,Miconia silvestris,2,Melastomataceae Miconia silvestris,Miconia silvestris,1,Gleason,http://www.tropicos.org/Name/20303323 ,,,Accepted,Miconia,1,silvestris,,,,,,Y,,
d,15364,Montiaceae,Calyptridium parryi,2,Montiaceae Calyptridium parryi,Calyptridium parryi,1,A. Gray,http://www.tropicos.org/Name/26200195 ,,,Synonym,Calyptridium,1,parryi,,,,,,Y,,
d,35448,Myrtaceae,Eugenia dombeyi,1,Myrtaceae Eugenia dombeyi,Eugenia dombeyi,1,(Spreng.) Skeels,http://www.tropicos.org/Name/22106410 ,,,Accepted,Eugenia,1,dombeyi,,,,,,Y,,"rare in nature, but also cultivated"
d,35476,Myrtaceae,Eugenia froesii,1,Myrtaceae Eugenia froesii,Eugenia froesii,1,McVaugh,http://www.tropicos.org/Name/22104378 ,,,Accepted,Eugenia,1,froesii,,,,,,Y,,
d,12231,Orchidaceae,Brachionidium ephemerum,3,Orchidaceae Brachionidium ephemerum,Brachionidium ephemerum,1,Luer & Hirtz,http://www.tropicos.org/Name/23518506 ,,,Accepted,Brachionidium,1,ephemerum,,,,,,Y,,
d,12250,Orchidaceae,Brachionidium tuberculatum,2,Orchidaceae Brachionidium tuberculatum,Brachionidium tuberculatum,1,Lindl.,http://www.tropicos.org/Name/23510412 ,,,Accepted,Brachionidium,1,tuberculatum,,,,,,Y,,
