Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
MO,93637,Bromeliaceae,Tillandsia portillae,1,Bromeliaceae Tillandsia portillae,Tillandsia portillae,1,E. Gross & R. WŸlfinghoff,http://www.tropicos.org/Name/50098484 ,,,Accepted,Tillandsia,1,portillae,,,,,,yes,,ecuador
MO,12976,Brunelliaceae,Brunellia diversifolia,1,Brunelliaceae Brunellia diversifolia,Brunellia diversifolia,1,C.I. Orozco,http://www.tropicos.org/Name/50095509 ,,,Accepted,Brunellia,1,diversifolia,,yes,,,,,,synonym of Brunellia acostae Cuatrec.
MO,18095,Campanulaceae,Centropogon vitifolius,2,Campanulaceae Centropogon vitifolius,Centropogon vitifolius,1,Lammers,http://www.tropicos.org/Name/50191232 ,,,Accepted,Centropogon,1,vitifolius,,,,,,yes,,peru endemic
MO,15990,Capparaceae,Capparis pulcherrima,2,Capparaceae Capparis pulcherrima,Capparis pulcherrima,1,Jacq.,http://www.tropicos.org/Name/5900772 ,,,Accepted,Capparis,1,pulcherrima,,,,,,yes,,colombia venezuela
MO,37682,Capparaceae,Forchhammeria brevipes,2,Capparaceae Forchhammeria brevipes,Forchhammeria brevipes,1,Urb.,http://www.tropicos.org/Name/5900914 ,,,No opinion,Forchhammeria,1,brevipes,,,,,,yes,,dominican rep. & puerto rico
MO,73081,Caprifoliaceae,Plectritis californica,2,Caprifoliaceae Plectritis californica,Plectritis californica,1,(Suksd.) Dyal,http://www.tropicos.org/Name/33500474 ,,,Accepted,Plectritis,1,californica,,,,,,yes,,california
MO,77870,Caryophyllaceae,Pycnophyllum glomeratum,1,Caryophyllaceae Pycnophyllum glomeratum,Pycnophyllum glomeratum,1,Mattf.,http://www.tropicos.org/Name/6301149 ,,,Accepted,Pycnophyllum,1,glomeratum,,,,,yes,,,peru argentina
MO,93913,Celastraceae,Tontelea riedeliana,1,Celastraceae Tontelea riedeliana,Tontelea riedeliana,1,(Peyr.) A.C. Sm.,http://www.tropicos.org/Name/50112330 ,,,Accepted,Tontelea,1,riedeliana,,,,,,yes,,brazil
MO,20976,Cleomaceae,Cleome pringlei,2,Cleomaceae Cleome pringlei,Cleome pringlei,1,H.H. Iltis,http://www.tropicos.org/Name/5900145 ,,,No opinion,Cleome,1,pringlei,,,,,,yes,,mexico
MO,74002,Cleomaceae,Podandrogyne polychroma,1,Cleomaceae Podandrogyne polychroma,Podandrogyne polychroma,1,Woodson,http://www.tropicos.org/Name/5900217 ,,,No opinion,Podandrogyne,1,polychroma,,,,,,yes,,colombia
MO,22468,Combretaceae,Combretum mexicanum,2,Combretaceae Combretum mexicanum,Combretum mexicanum,1,Bonpl.,http://www.tropicos.org/Name/8200254 ,,,Accepted,Combretum,1,mexicanum,,yes,,,,,,synonym of Combretum laxum Jacq.
MO,84565,Crassulaceae,Sempervivum heuffelii,1,Crassulaceae Sempervivum heuffelii,Sempervivum heuffelii,1,Schott,http://www.tropicos.org/Name/8902709 ,,,Accepted,Sempervivum,1,heuffelii,,yes,,,,,,synonym of Jovibarba heuffelii (Schott) Á. Löve & D. Löve
MO,7974,Cyclanthaceae,Asplundia latifrons,1,Cyclanthaceae Asplundia latifrons,Asplundia latifrons,1,(Drude) Harling,http://www.tropicos.org/Name/9700224 ,,,Accepted,Asplundia,1,latifrons,,,,,,yes,,Brazil
MO,64948,Eriocaulaceae,Paepalanthus complanatus,3,Eriocaulaceae Paepalanthus complanatus,Paepalanthus complanatus,1,Silveira,http://www.tropicos.org/Name/12400398 ,,,Accepted,Paepalanthus,1,complanatus,,,,,,yes,,brazil
MO,65082,Eriocaulaceae,Paepalanthus tessmannii,1,Eriocaulaceae Paepalanthus tessmannii,Paepalanthus tessmannii,1,Moldenke,http://www.tropicos.org/Name/50301004 ,,,Accepted,Paepalanthus,1,tessmannii,,,,,,yes,,brazil
MO,546,Euphorbiaceae,Acalypha conspicua,2,Euphorbiaceae Acalypha conspicua,Acalypha conspicua,1,MŸll. Arg.,http://www.tropicos.org/Name/12800559 ,,,Accepted,Acalypha,1,conspicua,,,,,,yes,,mexico el salvador
MO,6811,Euphorbiaceae,Argythamnia argentea,1,Euphorbiaceae Argythamnia argentea,Argythamnia argentea,1,Millsp.,http://www.tropicos.org/Name/50170381 ,,,Accepted,Argythamnia,1,argentea,,,,,,yes,,mexico
MO,24398,Euphorbiaceae,Croton alnifolius,3,Euphorbiaceae Croton alnifolius,Croton alnifolius,1,Lam.,http://www.tropicos.org/Name/12800801 ,,,Accepted,Croton,1,alnifolius,,,,,yes,,,Ecuador to Bolivia
MO,36132,Euphorbiaceae,Euphorbia crossadenia,3,Euphorbiaceae Euphorbia crossadenia,Euphorbia crossadenia,1,Pax & K. Hoffm.,http://www.tropicos.org/Name/12801300 ,,,Accepted,Euphorbia,1,crossadenia,,,,,,yes,,brazil
MO,36356,Euphorbiaceae,Euphorbia seguieriana,1,Euphorbiaceae Euphorbia seguieriana,Euphorbia seguieriana,1,Neck.,http://www.tropicos.org/Name/12800051 ,,,Accepted,Euphorbia,1,seguieriana,,,,yes,,,,old world
MO,94389,Euphorbiaceae,Tragia pacifica,3,Euphorbiaceae Tragia pacifica,Tragia pacifica,1,McVaugh,http://www.tropicos.org/Name/50164081 ,,,Accepted,Tragia,1,pacifica,,,,,,yes,,"mexico, el salvador, guatemala"
MO,39166,Gentianaceae,Gentianella tubulosa,1,Gentianaceae Gentianella tubulosa,Gentianella tubulosa,1,"(Gilg, nom. illeg.) Fabris",http://www.tropicos.org/Name/13802259 ,,,Accepted,Gentianella,1,tubulosa,,,,,,yes,,argentina
MO,97822,Gentianaceae,Voyria pulcherrima,3,Gentianaceae Voyria pulcherrima,Voyria pulcherrima,1,(Standl.) L.O. Williams,http://www.tropicos.org/Name/13800610 ,,,Accepted,Voyria,1,pulcherrima,,,,,,yes,,panama
MO,34533,Geraniaceae,Erodium malacoides,3,Geraniaceae Erodium malacoides,Erodium malacoides,1,(L.) L'HŽr. ex Aiton,http://www.tropicos.org/Name/13900848 ,,,Accepted,Erodium,1,malacoides,,,,,,yes,,"argentina uruguay, coordinates in peru from cult probably, and no coordinates from argentina uruguay"
MO,26606,Gesneriaceae,Cyrtandra wagneri,1,Gesneriaceae Cyrtandra wagneri,Cyrtandra wagneri,1,Lorence & Perlman,http://www.tropicos.org/Name/100000916 ,,,No opinion,Cyrtandra,1,wagneri,,,,yes,,,,Hawaii
